"X","CES_pollution_N_100","CES_pollution_N_1000","CES_pollution_N_250","CES_pollution_N_50","CES_pollution_N_500","CES_score_N_100","CES_score_N_1000","CES_score_N_250","CES_score_N_50","CES_score_N_500","PA_N_100","PA_N_1000","PA_N_250","PA_N_50","PA_N_500","Roads_N_100","Roads_N_1000","Roads_N_250","Roads_N_50","Roads_N_500","School_N_100","School_N_1000","School_N_250","School_N_50","School_N_500","AQS"
"MAE",1.83378841388446,1.31292585709516,1.60684496410497,2.01507294470606,1.45177958214471,1.85726637995563,1.31887748400817,1.63006542353081,2.02680693470482,1.46456285596738,2.394818316,2.020641557,2.278458497,2.441657144,2.165403285,1.87638120202917,1.34803126262904,1.63833385626809,2.05852889209741,1.48476998190863,2.41016151913441,2.1397384030643,2.32242427252803,2.45410763109215,2.24419609184613,2.50643999532182
"RMSE",2.90060837582038,2.09860646712294,2.54670317037274,3.18046909241247,2.30852400067157,2.92668725539497,2.1115133107192,2.58315691371433,3.19483361477135,2.3313196051519,3.77410632,3.197454425,3.596838671,3.837664313,3.425477746,2.97852013452444,2.13805136815981,2.59032255166282,3.26178782748989,2.34741877741437,3.75470387923164,3.29639245380859,3.61009543006234,3.83118002592897,3.47663318421613,3.91796793821631
"MAE",1.91591452874413,1.41851432590723,1.70170898199679,2.10148727558783,1.55162861870098,1.86868228556319,1.36860023537109,1.65686787384777,2.00973824727639,1.508461687046,2.696476057,2.181038129,2.53917383,2.746419392,2.397337912,2.02238166725589,1.49133684731686,1.78998085408367,2.18071080412625,1.64013223535376,2.65368096487979,2.19547502304029,2.52049242988612,2.72907977929787,2.3645399726986,2.81114700220097
"RMSE",2.98416513414354,2.21860944153503,2.63504701697134,3.28482817250339,2.40243281807052,2.90763487956072,2.14648559031642,2.5693441401624,3.14497543164394,2.344497274928,4.253221341,3.401938237,3.994049556,4.327777182,3.754388494,3.15626497894362,2.31127788084742,2.76712600177949,3.42410211925759,2.52859452963854,4.14918843305411,3.36230451065673,3.91593824751349,4.27515389661381,3.66503927411718,4.41268862605461
"MAE",1.89036307361183,1.30732911786278,1.6136948507735,2.14663087981688,1.44926329138116,1.89150160557867,1.26615180173686,1.5938162944933,2.09034285804937,1.41165654787095,2.809981578,2.201809911,2.619474145,2.870855401,2.452078695,1.93726547793472,1.3548150028686,1.65759806268403,2.1728621529436,1.49627423924516,2.77616785441392,2.27285794359141,2.63261038076445,2.85218052510718,2.46795096546445,2.94685555665789
"RMSE",2.92704842357702,2.07050405252596,2.5137901564614,3.30526734185477,2.27334220710393,2.91229941690524,2.00859112222394,2.49029885508015,3.20812810022902,2.22475683989681,4.316843294,3.383249401,4.021707598,4.398165042,3.76826263,3.03010574889881,2.1363205856558,2.5926781813637,3.38011879170436,2.34587195063631,4.22219658383654,3.42603442369719,3.99654454585092,4.34265179772017,3.74252517883937,4.48609393017922
"Real class > shown class",0.0401516642192525,0.0423976032213316,0.041246548785343,0.0391808846919041,0.0419143246876332,0.0486207758187801,0.0501068501678623,0.049342004559681,0.0480742064724958,0.0497850790691846,0.01254192,0.01390684,0.013078939,0.012211065,0.013524343,0.0136836897675513,0.014955069859655,0.0147923770163318,0.0129922555778083,0.0150792729437515,0.0124186306073318,0.0135693190782617,0.0130144197277945,0.0121940357251526,0.013306227890119,0.0117422100377878
"Shown class > real class",0.0650469687939386,0.0470797774559276,0.0560481557068373,0.0726080082525587,0.0508423824257732,0.0737180941705532,0.0557289099960518,0.0653628681605873,0.0807789775441949,0.0596636174996831,0.064657336,0.046048539,0.058462495,0.067311404,0.052826454,0.0424136708224434,0.0206539677888601,0.031489090678462,0.0502941541912278,0.0253380725735875,0.0643102490107651,0.0487209069330127,0.0591984663499332,0.0672074414897451,0.0545722811206488,0.0709309021095608
"Real class > shown class",0.0528924274676376,0.0552680276626361,0.0542933706526401,0.0513337549297816,0.0550223574223826,0.0428463772223391,0.0439700433082508,0.0435002272418136,0.0422792998027476,0.0438166922226663,0.017049185,0.020362935,0.018138513,0.01658171,0.019173333,0.0199025244313584,0.0221655925363233,0.0221094866240939,0.0186794607858752,0.0224853329907934,0.0174583522030348,0.0202782703904724,0.0188370389502952,0.0169333872995253,0.019638071625001,0.0158156662147171
"Shown class > real class",0.102896194483261,0.08179278898111,0.0911950926311912,0.113732098019962,0.0851802720099198,0.118513614546819,0.0995627852418628,0.10821534341832,0.127172178731373,0.102377193672697,0.097233165,0.062054423,0.086013163,0.100980492,0.075629334,0.0559431111394253,0.0277480205856324,0.0413092508624665,0.0657067597618101,0.0335749601485755,0.0927548309897972,0.0612699736078084,0.0832141916543061,0.0985149850819718,0.0728030145127047,0.105564698031688
