"X","CES_pollution_N_100","CES_pollution_N_1000","CES_pollution_N_250","CES_pollution_N_50","CES_pollution_N_500","CES_score_N_100","CES_score_N_1000","CES_score_N_250","CES_score_N_50","CES_score_N_500","PA_N_100","PA_N_1000","PA_N_250","PA_N_50","PA_N_500","Roads_N_100","Roads_N_1000","Roads_N_250","Roads_N_50","Roads_N_500","School_N_100","School_N_1000","School_N_250","School_N_50","School_N_500","AQS"
"MAE",1.42475018886617,1.29802131296439,1.39355687789122,1.44075747114186,1.3555924729052,1.42543882399533,1.3022179882752,1.39203364616,1.43924082694499,1.35516749555179,1.31347175,1.045463345,1.223754582,1.366339287,1.139921713,1.4165030835486,1.26082898077773,1.37735314407113,1.43654263653734,1.32743038153457,1.24659975081663,0.917627390449069,1.12146787265256,1.32421367799295,1.0215240913996,1.46094647265055
"RMSE",2.13710984178355,1.94677017731407,2.0853726522427,2.16593683106868,2.02961344904976,2.13394729897357,1.95007598007495,2.07946182663399,2.15980802872631,2.02662830375767,2.006407267,1.67555126,1.890089208,2.076606748,1.789873427,2.12569151503589,1.90280915703572,2.06845746939321,2.16057794424062,1.99406073914422,1.91757291215555,1.51184690365299,1.75787638640488,2.02600039503019,1.63333488365265,2.20496632248721
"MAE",1.3226916726709,1.21261528183778,1.29889006293721,1.33270969509065,1.26411441462682,1.31771234008614,1.20382307565326,1.29034681938968,1.32826279509235,1.25656475352295,1.235814043,0.98445717,1.15350849,1.279567835,1.073699784,1.31472132745364,1.1807314240627,1.28469128589156,1.32863406513584,1.24213372758318,1.13297674607559,0.786020386489474,1.00070029644042,1.21315368034666,0.893670553309367,1.34362387624898
"RMSE",2.00228729276387,1.83875744807977,1.96201065771863,2.01991493424763,1.91110729673064,1.98856479821907,1.82096931115039,1.94331787251315,2.00753253485435,1.89501531151473,1.904643533,1.59240535,1.801476736,1.961750273,1.705580769,1.99085521573438,1.80391141777958,1.94810011822279,2.0147830791707,1.88573913950111,1.76382639612566,1.31916292112012,1.59007136732519,1.87830252354229,1.45133057514259,2.04074453953047
"MAE",1.25715518887298,1.1665097432229,1.23690404301077,1.26774961922826,1.20895853728491,1.25317344619269,1.1463624276742,1.22653416467647,1.26225832685036,1.19433932575493,1.221060143,1.021272291,1.16123905,1.246985181,1.096916949,1.24861898828914,1.14127911115801,1.22567153416989,1.26210593118068,1.19069861156501,1.13463436214976,0.819961006509156,1.0225696570136,1.19258657062726,0.92700226547299,1.27948532539053
"RMSE",1.96410740271291,1.8138427665202,1.92322324510841,1.98776328660579,1.87977010206641,1.95193492980909,1.7786164469294,1.90277898539404,1.97309725589717,1.85236618986559,1.941016711,1.680081854,1.858696435,1.979820267,1.778921521,1.95000988124432,1.78246438217179,1.91108293050735,1.98074742149616,1.85365722172877,1.82689656776363,1.41352225257722,1.67622380625685,1.91486186746777,1.54967289635754,2.02283775808092
"Real class > shown class",0.0526872733021189,0.0551371362680854,0.0534827324644539,0.0523571682615734,0.0543469938555627,0.0337798947678023,0.0345553326042679,0.034027041110111,0.0336914110806601,0.0342814474756156,0.025358529,0.025643696,0.026267357,0.024255649,0.02636909,0.0226428419324441,0.0290034762060547,0.025049070815947,0.0215558021284119,0.0270536070864139,0.0246789831642892,0.0228830514959347,0.0249996387266346,0.0235674034570923,0.0243145677623143,0.0205200491783188
"Shown class > real class",0.182222682561165,0.165451375672235,0.177010457005755,0.184736996365013,0.171527735952286,0.216141590244175,0.200949092153829,0.211438694610595,0.218087380973919,0.206408970094178,0.05143213,0.034024833,0.044640301,0.056284583,0.039131814,0.0622145831711125,0.044455527853665,0.0567439648948335,0.0649672061727067,0.0509599342947863,0.0483688234386693,0.0281676151852762,0.0393096208679569,0.0550187327920904,0.033441980318923,0.0678899533214661
"Real class > shown class",0.0536131229524727,0.0555766645676922,0.054244362717728,0.0533750017798735,0.0550234974078806,0.0309864434613657,0.0316230819187943,0.031199651972147,0.0309150908970962,0.0314218216717695,0.026140271,0.026442991,0.027148111,0.025067182,0.027296004,0.0235668893130038,0.029760053166448,0.0258601243337977,0.0225203582660135,0.0278500366172212,0.0258239829140222,0.0223225901782143,0.0256851500936388,0.0247668994180721,0.0243871747617546,0.0214664393860905
"Shown class > real class",0.208616281022506,0.194038701081254,0.204160259294228,0.210710361296889,0.199161738011177,0.246649078014364,0.232928618979016,0.24221854345625,0.248435744061597,0.237414657450652,0.052229355,0.035202628,0.045719645,0.056324461,0.04022388,0.0605316935745856,0.0449280206115257,0.0559065737889693,0.0627947994900053,0.0508692198162948,0.0464729801581617,0.0267244174127029,0.0375474129859005,0.0530552588554295,0.0317693763529914,0.0652869693945931
"Real class > shown class",0.0477453185714608,0.0488060678603872,0.0481595159090489,0.0475140741876404,0.0486089393916605,0.0309068825373873,0.031424165131643,0.0311163432613384,0.0308389990872387,0.0313067702132405,0.024342584,0.025704341,0.025685574,0.02327609,0.026278243,0.0230026379619796,0.0281424420982473,0.0248482928237731,0.0220183378238259,0.0265766163015065,0.0250530693200387,0.022132287271312,0.0248767256728849,0.0240206486057002,0.0238702746387809,0.0209354248530403
"Shown class > real class",0.220316532676071,0.208990640415055,0.216414049166427,0.222433874350955,0.212749469733646,0.251641787696545,0.240171938962548,0.247189693924997,0.253496793589773,0.24310125881824,0.050746904,0.036008314,0.045428364,0.053506312,0.04045698,0.0531967938433814,0.0417293073287645,0.0498183045971456,0.0552284119075702,0.0459975541649526,0.0448427537831464,0.0271353991036311,0.0375640346454277,0.0495877629064116,0.0323980873740672,0.0579014177172057
"AQI class off by >1",0.00270021750462027,0.00196455925630848,0.00246637718828837,0.00281461195660723,0.00225001855119007,0.00326536804810156,0.00250947728398725,0.00298440164987916,0.00338049976121268,0.00276074548760014,3.3e-05,2.64e-05,2.94e-05,3.51e-05,3.17e-05,1.94408004931832e-05,1.95496545771618e-05,1.88461506666421e-05,2.27571176506536e-05,1.28634770738172e-05,3.14505998385901e-05,2.54090323312133e-05,2.87401367176758e-05,3.98451379930267e-05,2.75986797159013e-05,3.2355832566247e-05
"AQI class off by >1",0.00336483082182514,0.00255358441674814,0.00310623565435989,0.00348417010098761,0.00286604579058699,0.00410530849809628,0.00319745714403272,0.00376936015319802,0.0042337534639766,0.00349339171667787,2.25e-05,2.21e-05,2.17e-05,2.43e-05,2.87e-05,1.4211161353814e-05,1.97581582779661e-05,1.45170296292564e-05,1.60717351972599e-05,1.050978514855e-05,2.02341658482337e-05,1.9705788314068e-05,1.91430258364114e-05,3.14207237157038e-05,2.07357973782407e-05,1.97764393723012e-05
"AQI class off by >1",0.00439671082301384,0.00362480350849117,0.00413049517392308,0.00453590271892123,0.00392964776638597,0.00568900585845979,0.0047330681930474,0.00529723375387408,0.00583522521228356,0.00501233711391369,3.91e-05,3.04e-05,3.4e-05,4.56e-05,3.94e-05,2.49765887194326e-05,1.75016485557986e-05,2.0382068966895e-05,3.07212080089199e-05,1.39899827723315e-05,3.4781658514697e-05,2.34815953289627e-05,3.08608396314809e-05,5.06096383650862e-05,2.92684278826424e-05,4.27290623282401e-05
