,CES_pollution_N_100,CES_pollution_N_1000,CES_pollution_N_250,CES_pollution_N_50,CES_pollution_N_500,CES_score_N_100,CES_score_N_1000,CES_score_N_250,CES_score_N_50,CES_score_N_500,PA_N_100,PA_N_1000,PA_N_250,PA_N_50,PA_N_500,Roads_N_100,Roads_N_1000,Roads_N_250,Roads_N_50,Roads_N_500,School_N_100,School_N_1000,School_N_250,School_N_50,School_N_500,AQS
MAE,1.441960151,1.28778175,1.424636156,1.45491669,1.314080993,1.428379638,1.265978421,1.380987648,1.459549048,1.31644674,2.394818316,2.020641557,2.278458497,2.441657144,2.165403285,1.415214157,1.26004627,1.385896617,1.448950791,1.324292579,1.292258279,0.952986547,1.1553725,1.345896209,1.067440607,2.506439995
RMSE,2.162390952,1.915672242,2.127889029,2.182495795,1.953372791,2.159722046,1.909922107,2.06893996,2.202976116,1.976338216,3.77410632,3.197454425,3.596838671,3.837664313,3.425477746,2.150834933,1.901321547,2.125087341,2.193737895,1.989409651,1.964293308,1.565086771,1.799724737,2.048222243,1.714843969,3.917967938
MAE,1.342827112,1.220249706,1.336039755,1.346934645,1.241533725,1.305150591,1.172857223,1.287835985,1.350378601,1.214347706,2.696476057,2.181038129,2.53917383,2.746419392,2.397337912,1.315274421,1.191650498,1.301174736,1.342257779,1.253530482,1.181815317,0.815752839,1.039853083,1.231905114,0.950704765,2.811147002
RMSE,2.032834552,1.83089361,2.010225281,2.036100434,1.867073673,1.990567113,1.789339659,1.948821487,2.055980552,1.848388365,4.253221341,3.401938237,3.994049556,4.327777182,3.754388494,2.024675435,1.833824015,2.031801197,2.051472949,1.917613212,1.813265353,1.351189279,1.640796688,1.902425132,1.558283155,4.412688626
MAE,1.268352715,1.16292346,1.269605232,1.283157642,1.200103458,1.257894788,1.133089272,1.216672672,1.278150822,1.157590959,2.809981578,2.201809911,2.619474145,2.870855401,2.452078695,1.278977819,1.155151809,1.261850142,1.293549831,1.226754795,1.180101479,0.840723283,1.060059784,1.215118516,0.970863137,2.946855557
RMSE,1.973891538,1.782746835,1.962733977,2.00484177,1.860124999,1.970376302,1.769413643,1.887109367,2.000488553,1.803382994,4.316843294,3.383249401,4.021707598,4.398165042,3.76826263,2.019134603,1.823285825,2.013120888,2.038079897,1.926456038,1.861996144,1.445291511,1.715328057,1.935871873,1.626603008,4.48609393
Real class > shown class,0.051760979,0.054171745,0.052193614,0.051315936,0.053443208,0.0340557,0.034825988,0.03409561,0.033923752,0.034426436,0.01254192,0.01390684,0.013078939,0.012211065,0.013524343,0.023257511,0.031353821,0.026999891,0.022226915,0.029122358,0.023561675,0.022418847,0.023726931,0.022890434,0.023985619,0.01174221
Shown class > real class,0.183837466,0.164170998,0.18071626,0.186127724,0.17047654,0.21314113,0.197951145,0.209848348,0.21547251,0.204487181,0.064657336,0.046048539,0.058462495,0.067311404,0.052826454,0.059692501,0.040183143,0.054031717,0.063673622,0.04693841,0.050918308,0.029410567,0.041228611,0.055520613,0.034990062,0.070930902
Real class > shown class,0.052910884,0.054189624,0.053241478,0.052608547,0.053986753,0.031283616,0.031754692,0.031116297,0.031132661,0.031511859,0.017049185,0.020362935,0.018138513,0.01658171,0.019173333,0.024329411,0.032294296,0.028512655,0.023481795,0.029986767,0.025180377,0.021640076,0.023654055,0.024495163,0.023550309,0.015815666
Shown class > real class,0.210813615,0.196184091,0.208463165,0.212598666,0.201037032,0.241413716,0.23187629,0.242043812,0.244992781,0.235750575,0.097233165,0.062054423,0.086013163,0.100980492,0.075629334,0.057755109,0.040913526,0.052623948,0.061209019,0.047623663,0.048754362,0.028432997,0.040852792,0.052813292,0.035233525,0.105564698
Real class > shown class,0.04705451,0.047983376,0.047745578,0.046812758,0.048301813,0.031244423,0.031646645,0.031175032,0.031153895,0.031418498,0.011912818,0.014753172,0.012718012,0.011541798,0.013635073,0.023276451,0.029083533,0.026142501,0.022505205,0.028510593,0.025552885,0.021358656,0.021888837,0.025702324,0.0221443,0.011148005
Shown class > real class,0.221334124,0.209220411,0.217455428,0.223453972,0.211723082,0.247106377,0.238513985,0.246076962,0.248907734,0.241445524,0.089053235,0.05322389,0.077275327,0.092595666,0.067408919,0.052166218,0.039796664,0.04832172,0.055151267,0.043965484,0.046237793,0.027404655,0.041403056,0.047435162,0.035501401,0.096308476
