,CES_pollution_N_100,CES_pollution_N_1000,CES_pollution_N_250,CES_pollution_N_50,CES_pollution_N_500,CES_score_N_100,CES_score_N_1000,CES_score_N_250,CES_score_N_50,CES_score_N_500,PA_N_100,PA_N_1000,PA_N_250,PA_N_50,PA_N_500,Roads_N_100,Roads_N_1000,Roads_N_250,Roads_N_50,Roads_N_500,School_N_100,School_N_1000,School_N_250,School_N_50,School_N_500,AQS
MAE,1.412593563,1.30269213,1.37200751,1.420829512,1.358548099,1.399219154,1.321386828,1.378781733,1.447270065,1.380213869,1.31347175,1.045463345,1.223754582,1.366339287,1.139921713,1.374617937,1.225765334,1.324586462,1.405076463,1.296022584,1.225044145,0.923823476,1.131749198,1.306182301,1.013297368,1.460946473
RMSE,2.10914527,1.958495607,2.03488662,2.131320648,2.031092215,2.085800817,1.976935913,2.052860082,2.169205817,2.048931383,2.006407267,1.67555126,1.890089208,2.076606748,1.789873427,2.068415656,1.850644885,1.996911636,2.114084881,1.94456093,1.88020747,1.52340612,1.774381221,1.999881717,1.625767514,2.204966322
MAE,1.315102672,1.201709931,1.282628465,1.316778389,1.256255558,1.298529117,1.251393517,1.286502856,1.333428541,1.293704773,1.235814043,0.98445717,1.15350849,1.279567835,1.073699784,1.299255517,1.155479591,1.247553064,1.327015066,1.235281297,1.117838878,0.790175809,1.024569299,1.185571326,0.895298397,1.343623876
RMSE,1.983076641,1.818205082,1.917438558,1.997290007,1.892740674,1.951171404,1.875052332,1.929910889,2.011206531,1.930436114,1.904643533,1.59240535,1.801476736,1.961750273,1.705580769,1.978695956,1.774970659,1.90248463,2.016466839,1.872737855,1.729717909,1.33156089,1.640868192,1.834797549,1.461586579,2.04074454
MAE,1.2686692,1.155974974,1.221905427,1.282252784,1.185727556,1.232919226,1.190181697,1.211988428,1.255017017,1.23050869,1.221060143,1.021272291,1.16123905,1.246985181,1.096916949,1.230635964,1.111951255,1.197281958,1.263756585,1.17540709,1.119518204,0.832109832,1.048751799,1.173555953,0.956191356,1.279485325
RMSE,1.997606374,1.797240796,1.882301125,2.03008003,1.829551653,1.911636837,1.830979054,1.874637597,1.944948434,1.894503522,1.941016711,1.680081854,1.858696435,1.979820267,1.778921521,1.924170295,1.73749235,1.868930329,1.991952474,1.824472179,1.799067524,1.423270859,1.721390294,1.897331655,1.603255243,2.022837758
Real class > shown class,0.053060856,0.054747853,0.053486221,0.053191141,0.05445462,0.033999321,0.034151446,0.034002256,0.03353912,0.034033032,0.025358529,0.025643696,0.026267357,0.024255649,0.02636909,0.02322287,0.028832182,0.02659465,0.021820198,0.02657373,0.02649829,0.022207247,0.024327378,0.024320446,0.024306829,0.020520049
Shown class > real class,0.180130499,0.168004849,0.176534125,0.17999572,0.172283857,0.213804238,0.206646277,0.212233346,0.220148327,0.211582334,0.05143213,0.034024833,0.044640301,0.056284583,0.039131814,0.058792142,0.04171443,0.051218499,0.062178485,0.04951958,0.045208107,0.029096156,0.040599612,0.053217643,0.03272788,0.067889953
Real class > shown class,0.054152789,0.054977915,0.054385778,0.05454617,0.055252329,0.031089732,0.031060303,0.031034559,0.030764496,0.031004218,0.026140271,0.026442991,0.027148111,0.025067182,0.027296004,0.024000003,0.028587379,0.025964859,0.02248843,0.026596352,0.027538098,0.022231145,0.024363773,0.024977285,0.024265309,0.021466439
Shown class > real class,0.204813402,0.195393968,0.201839038,0.204180187,0.198175969,0.245823344,0.240686951,0.244721903,0.250060177,0.243973938,0.052229355,0.035202628,0.045719645,0.056324461,0.04022388,0.059399571,0.043790391,0.053708432,0.06289902,0.052177466,0.043525422,0.026732298,0.040103506,0.050803685,0.031732757,0.065286969
